Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score
92,200,0.6,1.0,0.5,5.0,0.0539938947283191,5.399389472831918,11.5,1150.0,313.0434782608696,1.65,22.5,2.9375,0.265,18.0,0.7312518321282002
93,200,0.6,1.0,0.5,10.0,0.0539938947283191,5.399389472831918,21.5,2150.0,167.4418604651163,1.65,22.5,2.9375,0.265,18.0,0.7312518321282002
94,200,0.6,1.0,1.0,2.5,0.0737314202205899,7.373142022058992,7.0,700.0,514.2857142857143,2.3,30.0,2.95,0.33,35.0,0.5597090580418215
95,200,0.6,1.0,1.0,5.0,0.086742847318341,8.674284731834108,12.0,1200.0,300.0,1.5,30.0,2.95,0.25,15.0,0.7685325874535862
96,200,0.6,1.0,1.0,10.0,0.086742847318341,8.674284731834108,22.0,2200.0,163.63636363636363,1.5,30.0,2.95,0.25,15.0,0.7685325874535862
97,200,0.6,1.0,1.5,2.5,0.0774179912316194,7.741799123161942,7.5,750.0,480.0,2.45,37.5,2.9375,0.34500000000000003,38.0,0.4945213259722493
98,200,0.6,1.0,1.5,5.0,0.0910799896842581,9.107998968425814,12.5,1250.0,288.0,1.65,37.5,2.9375,0.265,18.0,0.7033448553840141
99,200,0.6,1.0,1.5,10.0,0.0910799896842581,9.107998968425814,22.5,2250.0,160.0,1.65,37.5,2.9375,0.265,18.0,0.7033448553840141
100,200,0.6,1.5,0.5,2.5,0.0481895510450248,4.818955104502487,7.0,700.0,514.2857142857143,2.6,30.0,2.9250000000000003,0.36000000000000004,41.0,0.4572405706468636
101,200,0.6,1.5,0.5,5.0,0.0566935894647351,5.669358946473515,12.0,1200.0,300.0,1.8,30.0,2.9250000000000003,0.28,21.0,0.6660641000586283
102,200,0.6,1.5,0.5,10.0,0.0566935894647351,5.669358946473515,22.0,2200.0,163.63636363636363,1.8,30.0,2.9250000000000003,0.28,21.0,0.6660641000586283
103,200,0.6,1.5,1.0,2.5,0.0774179912316194,7.741799123161942,7.5,750.0,480.0,2.45,37.5,2.9375,0.34500000000000003,38.0,0.4945213259722493
104,200,0.6,1.5,1.0,5.0,0.0910799896842581,9.107998968425814,12.5,1250.0,288.0,1.65,37.5,2.9375,0.265,18.0,0.7033448553840141
105,200,0.6,1.5,1.0,10.0,0.0910799896842581,9.107998968425814,22.5,2250.0,160.0,1.65,37.5,2.9375,0.265,18.0,0.7033448553840141
106,200,0.6,1.5,1.5,2.5,0.0812888907932004,8.12888907932004,8.0,800.0,450.0,2.6,45.0,2.9250000000000003,0.36000000000000004,41.0,0.4293335939026775
107,200,0.6,1.5,1.5,5.0,0.095633989168471,9.563398916847106,13.0,1300.0,276.9230769230769,1.8,45.0,2.9250000000000003,0.28,21.0,0.6381571233144422
