Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score,Thickness_Error_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Throughput_OK,Process_Qualified,Score_Thickness,Score_Uniformity,Score_Stress,Score_Density,Score_Roughness,Score_Defectivity,Score_Throughput,Optimization_Score
11,160,0.6,1.0,0.5,5.0,0.0431951157826553,4.3195115782655344,11.5,1150.0,313.0434782608696,2.45,-2.5,2.8375,0.345,33.0,0.4600577731092434,56.80488421734465,False,False,True,False,False,False,True,False,0.263669219656708,0.39583333333333315,1.0,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.3529411764705883,0.3757737474912076
12,160,0.6,1.0,0.5,10.0,0.0431951157826553,4.3195115782655344,21.5,2150.0,167.4418604651163,2.45,-2.5,2.8375,0.345,33.0,0.4600577731092434,56.80488421734465,False,False,True,False,False,False,True,False,0.263669219656708,0.39583333333333315,1.0,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.024623803009575954,0.3429420101451064
13,160,0.6,1.0,1.0,2.5,0.0589851361764719,5.898513617647193,7.0,700.0,514.2857142857143,3.1,5.0,2.85,0.41,50.0,0.2978173246042602,41.01486382352807,False,False,True,False,False,False,True,False,0.46834665538089537,0.12499999999999976,0.9767441860465116,0.1428571428571425,0.1250000000000001,0.11764705882352941,0.8067226890756304,0.3661266286683623
14,160,0.6,1.0,1.0,5.0,0.0693942778546728,6.939427785467286,12.0,1200.0,300.0,2.3,5.0,2.85,0.33,30.0,0.5066408540160249,30.605722145327142,False,False,True,False,False,False,True,False,0.6032746905351909,0.45833333333333326,0.9767441860465116,0.1428571428571425,0.4583333333333333,0.5098039215686274,0.32352941176470584,0.4907549960003535
15,160,0.6,1.0,1.0,10.0,0.0693942778546728,6.939427785467286,22.0,2200.0,163.63636363636363,2.3,5.0,2.85,0.33,30.0,0.5066408540160249,30.605722145327142,False,False,True,False,False,False,True,False,0.6032746905351909,0.45833333333333326,0.9767441860465116,0.1428571428571425,0.4583333333333333,0.5098039215686274,0.01604278074866308,0.4600063328987492
16,160,0.6,1.0,1.5,2.5,0.0619343929852955,6.193439298529554,7.5,750.0,480.0,3.25,12.5,2.8375,0.425,53.0,0.2326295925346879,38.06560701470446,False,False,True,False,False,False,True,False,0.5065762653412792,0.06249999999999979,0.9069767441860465,0.07142857142856998,0.06250000000000006,0.058823529411764705,0.7294117647058824,0.3256295558799746
17,160,0.6,1.0,1.5,5.0,0.0728639917474065,7.286399174740652,12.5,1250.0,288.0,2.45,12.5,2.8375,0.345,33.0,0.4414531219464527,27.136008252593484,False,False,True,False,False,False,True,False,0.6482507022532897,0.39583333333333315,0.9069767441860465,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.2964705882352941,0.45696973373542826
18,160,0.6,1.0,1.5,10.0,0.0728639917474065,7.286399174740652,22.5,2250.0,160.0,2.45,12.5,2.8375,0.345,33.0,0.4414531219464527,27.136008252593484,False,False,True,False,False,False,True,False,0.6482507022532897,0.39583333333333315,0.9069767441860465,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.007843137254901962,0.42810698863738905
19,160,0.6,1.5,0.5,2.5,0.0385516408360199,3.8551640836019896,7.0,700.0,514.2857142857143,3.3999999999999995,5.0,2.825,0.44,56.0,0.1953488372093023,61.4483591639801,False,False,True,False,False,False,True,False,0.20347838258223305,0.0,0.9767441860465116,0.0,0.0,0.0,0.8067226890756304,0.22921628315777245
20,160,0.6,1.5,0.5,5.0,0.0453548715717881,4.535487157178811,12.0,1200.0,300.0,2.6,5.0,2.825,0.36,36.0,0.4041723666210671,54.64512842821188,False,False,True,False,False,False,True,False,0.2916649578308824,0.33333333333333315,0.9767441860465116,0.0,0.3333333333333334,0.39215686274509803,0.32352941176470584,0.34215928551335206
